device_id,device_name,ip_address,os,device_type,scan_date,vulnerability_id,cve_publish_date,plugin_id,cvss_score,risk_score,exploit_available,patch_available,compliance_issue,vulnerability_age
DVC-10494,host-931,192.168.133.64,Linux RHEL,Server,2024-08-14,CVE-2018-98983,2023-09-17,90357,4.6,345.0,No,Yes,Yes,172
DVC-10139,host-885,192.168.147.15,Linux Ubuntu,Workstation,2024-03-12,CVE-2017-71893,2023-01-15,78212,0.5,25.0,Yes,Yes,No,327
DVC-10263,host-591,192.168.222.23,Linux RHEL,Server,2024-08-26,CVE-2024-49739,2023-06-04,13222,2.9,145.0,Yes,Yes,No,160
DVC-10409,host-974,192.168.86.110,Linux RHEL,Server,2024-08-27,CVE-2020-16797,2023-03-14,26060,6.0,450.0,Yes,No,No,159
DVC-10389,host-785,192.168.181.72,Linux RHEL,Server,2024-06-18,CVE-2020-94067,2023-09-24,19558,4.0,300.0,No,No,No,229
DVC-10086,host-841,192.168.50.41,macOS Ventura,Workstation,2024-09-27,CVE-2020-58621,2023-08-22,52187,3.7,185.0,Yes,No,No,128
DVC-10003,host-439,192.168.56.5,Windows 10,Workstation,2024-11-29,CVE-2022-96637,2023-11-17,41533,6.8,510.0,Yes,No,No,65
DVC-10375,host-205,192.168.115.30,Linux Ubuntu,Workstation,2024-12-15,CVE-2022-46351,2023-09-01,59309,3.2,160.0,No,No,No,49
DVC-10052,host-410,192.168.64.138,Linux Ubuntu,Workstation,2024-05-11,CVE-2019-52729,2023-03-16,83872,7.9,790.0,No,Yes,Yes,267
DVC-10268,host-997,192.168.13.23,Windows 10,Workstation,2024-07-17,CVE-2017-9444,2023-04-03,47856,8.6,860.0,No,No,No,200
DVC-10345,host-889,192.168.112.145,Windows 10,Workstation,2024-01-14,CVE-2024-71704,2023-07-15,64424,3.4,170.0,No,Yes,Yes,385
DVC-10484,host-284,192.168.18.247,Windows 10,Workstation,2024-06-25,CVE-2023-64924,2023-08-06,41615,9.6,1200.0,No,Yes,No,222
DVC-10385,host-343,192.168.45.244,Linux RHEL,Server,2024-09-06,CVE-2022-34455,2023-08-12,70641,4.4,330.0,No,No,Yes,149
DVC-10271,host-319,192.168.243.132,Linux Ubuntu,Workstation,2024-08-24,CVE-2020-60267,2023-02-04,74606,4.7,352.5,Yes,No,Yes,162
DVC-10068,host-640,192.168.65.34,Windows Server 2019,Server,2024-02-10,CVE-2019-33072,2023-09-15,71407,1.5,75.0,Yes,No,No,358
DVC-10004,host-371,192.168.168.15,Windows Server 2019,Server,2024-06-28,CVE-2019-72718,2023-12-05,38085,1.4,70.0,Yes,Yes,No,219
DVC-10386,host-603,192.168.189.50,Linux Ubuntu,Workstation,2024-10-21,CVE-2017-71893,2023-01-15,78212,0.5,25.0,No,Yes,Yes,104
